ZBNr,ZBNr_norm,Name,Rasse,Wurfdatum,Geschlecht,HD_Grad,ED_rechts,ED_links,AnzNachkommen,EBV,Confidenz,Verlässlichkeit,ED_ZWS,prcd-PRA,HNPK,SD2,CNM,EIC,ZS,STGD_Status,vater_name,vater_zbnr,vater_zbnr_norm,mutter_name,mutter_zbnr,mutter_zbnr_norm,Vater,Mutter,geburtsjahr,pedigree_status,father_found,mother_found,source,created_at,updated_at,user_notes
USER-000078,USER-000078,Glenfarg Dante,Labrador-Retriever,1961,R,,,,,,,,,,,,,,,,,,,,,,,,1961,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
USER-000079,USER-000079,Spudtamsons Strong Runner,Labrador-Retriever,,H,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
USER-000080,USER-000080,Lugwardine Jasper,Labrador-Retriever,1968,R,,,,,,,,,,,,,,,,,,,,,,,,1968,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
USER-000081,USER-000081,Hoodhill Tweed of Haretor,Labrador-Retriever,1977,H,,,,,,,,,,,,,,,,,,,,,,,,1977,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
USER-000082,USER-000082,Rouser of Essendene,Labrador-Retriever,,R,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
USER-000083,USER-000083,Blakemere Astrix,Labrador-Retriever,1972,H,,,,,,,,,,,,,,,,,,,,,,,,1972,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
USER-000084,USER-000084,Abbotts Teal,Labrador-Retriever,,H,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,False,user_import,2026-06-08T15:33:14,2026-06-08T15:33:14,Import aus Text-Ahnentafel
KC N2787902N02,KC N2787902N02,Wiltonpark Carousel,Labrador-Retriever,1988,H,,,,,,,,,,,,,,,,Swinbrook Twig,A-01533,A-01533,Park Lane Jenny,USER-000085,USER-000085,Swinbrook Twig,Park Lane Jenny,1988,ok,True,True,user_import_override,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000085,USER-000085,Park Lane Jenny,Labrador-Retriever,1982,H,,,,,,,,,,,,,,,,Greenwood Timothy of Holdgate,KCSB 0143BP,KCSB 0143BP,Whisp of Candy,USER-000086,USER-000086,Greenwood Timothy of Holdgate,Whisp of Candy,1982,ok,True,True,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000086,USER-000086,Whisp of Candy,Labrador-Retriever,1976,H,,,,,,,,,,,,,,,,Sandringham Shot,USER-000087,USER-000087,Queendyke Lady,USER-000088,USER-000088,Sandringham Shot,Queendyke Lady,1976,ok,True,True,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000087,USER-000087,Sandringham Shot,Labrador-Retriever,1973,R,,,,,,,,,,,,,,,,Holdgate Willie,A-00485,A-00485,Sherry of Biteabout,A-00768,A-00768,Holdgate Willie,Sherry of Biteabout,1973,ok,True,True,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000088,USER-000088,Queendyke Lady,Labrador-Retriever,,H,,,,,,,,,,,,,,,,Seaman Bracken,USER-000093,USER-000093,Garrowby Lady,USER-000094,USER-000094,Seaman Bracken,Garrowby Lady,,ok,True,True,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000089,USER-000089,Holdgate Steven,Labrador-Retriever,1966,R,,,,,,,,,,,,,,,,,,,,,,,,1966,ok,False,False,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000090,USER-000090,Angeltowns Chalcedory Dona,Labrador-Retriever,1970,H,,,,,,,,,,,,,,,,,,,,,,,,1970,ok,False,False,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000091,USER-000091,Ivyland Tessa/Tesa,Labrador-Retriever,1970,H,,,,,,,,,,,,,,,,,,,,,,,,1970,ok,False,False,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000092,USER-000092,Holdgate Steven,Labrador-Retriever,1966,R,,,,,,,,,,,,,,,,,,,,,,,,1966,ok,False,False,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000093,USER-000093,Seaman Bracken,Labrador-Retriever,,R,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,False,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
USER-000094,USER-000094,Garrowby Lady,Labrador-Retriever,1968,H,,,,,,,,,,,,,,,,,,,,,,,,1968,ok,False,False,user_import,2026-06-08T15:34:37,2026-06-08T15:34:37,Import aus Text-Ahnentafel
KCSB 4023CN,KCSB 4023CN,Greenbriar Glencoe of Drakeshead,Labrador-Retriever,2002,R,,,,,,,,,,,,,,,,Hatchfield Feargal,KCSB 4160CI,KCSB 4160CI,Greenbriar Solitaire,KCSB 4577CJ,KCSB 4577CJ,Hatchfield Feargal,Greenbriar Solitaire,2002,ok,True,True,user_import_override,2026-06-08T15:35:52,2026-06-08T15:35:52,Import aus Text-Ahnentafel
USER-000095,USER-000095,Fobbingacre Fern of Greenbriar,Labrador-Retriever,1993,H,BVA/KC: 6/4,,,,,,,,,,,,,,,Raughlin Pete of Drakeshead,A-01752,A-01752,Drakeshead Myth of Fobbingacre,KC R5351803R04,KC R5351803R04,Raughlin Pete of Drakeshead,Drakeshead Myth of Fobbingacre,1993,ok,True,True,user_import,2026-06-08T15:35:52,2026-06-08T15:35:52,Import aus Text-Ahnentafel
KC R5351803R04,KC R5351803R04,Drakeshead Myth of Fobbingacre,Labrador-Retriever,1991,H,Unknown: 3/3,,,,,,,,,,,,,,,Tasco Dancing Brave of Willowyck,A-01763,A-01763,Middlegate Dusty of Drakeshead,USER-000096,USER-000096,Tasco Dancing Brave of Willowyck,Middlegate Dusty of Drakeshead,1991,ok,True,True,user_import_override,2026-06-08T15:35:52,2026-06-08T15:35:52,Import aus Text-Ahnentafel
USER-000096,USER-000096,Middlegate Dusty of Drakeshead,Labrador-Retriever,1989,H,,,,,,,,,,,,,,,,,,,,,,,,1989,ok,False,False,user_import,2026-06-08T15:35:52,2026-06-08T15:35:52,Import aus Text-Ahnentafel
KC AH03853607,KC AH03853607,Wingbeat Colt,Labrador-Retriever,2007,R,,,,,,,,,,,,,,,,Greenbriar Viper of Drakeshead,KCSB 3686CM,KCSB 3686CM,Broadwath Holly of Wingbeat,KC Z2683903Z03,KC Z2683903Z03,Greenbriar Viper of Drakeshead,Broadwath Holly of Wingbeat,2007,ok,True,True,user_import_override,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
KC X2504603X02,KC X2504603X02,Lydgate Arookub of Broadwath,Labrador-Retriever,1997,R,BVA/KC: 5/6,,,,,,,,,,,,,,,Derwent Dante,USER-000097,USER-000097,Hurry Up Hannah,USER-000098,USER-000098,Derwent Dante,Hurry Up Hannah,1997,ok,True,True,user_import_override,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
KC W3188804W03,KC W3188804W03,Pearl March of Broadwath,Labrador-Retriever,1996,H,Unknown: 5/4,,,,,,,,,,,,,,,Wingbeat Actor,USER-000099,USER-000099,Broadwath Bess,USER-000100,USER-000100,Wingbeat Actor,Broadwath Bess,1996,ok,True,True,user_import_override,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000097,USER-000097,Derwent Dante,Labrador-Retriever,1988,R,BVA/KC: 5/6,,,,,,,,,,,,,,,Haretor Mark of Drakeshead,A-01876,A-01876,Bessie Vee,USER-000101,USER-000101,Haretor Mark of Drakeshead,Bessie Vee,1988,ok,True,True,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000098,USER-000098,Hurry Up Hannah,Labrador-Retriever,1995,H,BVA/KC: 5/5,,,,,,,,,,,,,,,Scarborough Terrace,USER-000102,USER-000102,Morning Meadow Girl,USER-000103,USER-000103,Scarborough Terrace,Morning Meadow Girl,1995,ok,True,True,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000099,USER-000099,Wingbeat Actor,Labrador-Retriever,1992,R,BVA/KC: 4/4,,,,,,,,,,,,,,,Symington Clarerone of Leadburn,A-02602,A-02602,Wingbeat Megan,USER-000104,USER-000104,Symington Clarerone of Leadburn,Wingbeat Megan,1992,ok,True,True,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000100,USER-000100,Broadwath Bess,Labrador-Retriever,1993,H,Unknown: 1/3,,,,,,,,,,,,,,,Pocklea Remus,A-02302,A-02302,Wingbeat Crystal,USER-000105,USER-000105,Pocklea Remus,Wingbeat Crystal,1993,ok,True,True,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000101,USER-000101,Bessie Vee,Labrador-Retriever,1982,H,,,,,,,,,,,,,,,,,,,,,,,,1982,ok,False,False,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000102,USER-000102,Scarborough Terrace,Labrador-Retriever,1987,R,,,,,,,,,,,,,,,,,,,,,,,,1987,ok,False,False,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000103,USER-000103,Morning Meadow Girl,Labrador-Retriever,1993,H,,,,,,,,,,,,,,,,,,,,,,,,1993,ok,False,False,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000104,USER-000104,Wingbeat Megan,Labrador-Retriever,1989,H,,,,,,,,,,,,,,,,,,,,,,,,1989,ok,False,False,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
USER-000105,USER-000105,Wingbeat Crystal,Labrador-Retriever,,H,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,False,user_import,2026-06-08T18:13:50,2026-06-08T18:13:50,Import aus Text-Ahnentafel
