animal_id,ZBNr,Name,Rasse,Wurfdatum,geburtsjahr,birthyear_clean,geschlecht,sex_clean,sex_code,father_id,mother_id,ed_score,ed_trait_blup,ed_phenotyped_bool,ED_rechts_raw,ED_links_raw,ed_blup_raw,se_blup,pev,reliability,reliability_prozent,accuracy,accuracy_prozent,sicherheitsklasse,ed_zw_0_10_niedrig_gut
153238,1924123,Amy vom Hasetaler Forst,Labrador-Retriever,10/14/2019,2019.0,2019.0,H,H,2,104065,140270,0.0,1.0,True,"frei,frei",frei,-0.16948289,0.15412176,0.0237535169054976,0.5264639187931581,52.646391879315814,0.7255783340158098,72.55783340158098,mittel,-12.731592128892151
29714,KC S2783607T03,Highdunscott Amy,Labrador-Retriever,,,,H,H,2,28124,29555,,,False,-,,-0.16919167,0.18117069,0.032822818915076095,0.3456636714031319,34.56636714031319,0.5879316894020358,58.79316894020358,mittel,-12.707803544725422
23874,712687,Alina vom Kleinen Hülser Berg,Labrador-Retriever,2/24/2007,2007.0,2007.0,H,H,2,34240,34392,0.0,1.0,True,"frei,frei",frei,-0.16908219,0.14717022,0.0216590736548484,0.5682175021959173,56.82175021959173,0.7538020311699334,75.38020311699334,mittel,-12.698860566239834
86914,1116145,Joey von der Tarpenbek,Labrador-Retriever,3/3/2011,2011.0,2011.0,R,R,1,72674,82494,0.0,1.0,True,"frei,frei",frei,-0.16899609,0.17672237,0.031230796058416898,0.37740129862411986,37.74012986241198,0.6143299590807206,61.432995908072066,mittel,-12.691827405410372
86913,1116144,John-Boy von der Tarpenbek,Labrador-Retriever,3/3/2011,2011.0,2011.0,R,R,1,72674,82494,0.0,1.0,True,"frei,frei",frei,-0.16899609,0.17672237,0.031230796058416898,0.37740129862411986,37.74012986241198,0.6143299590807206,61.432995908072066,mittel,-12.691827405410372
122588,1620485,Femba's Go on Sari,Labrador-Retriever,4/26/2016,2016.0,2016.0,,unbekannt,3,70637,101175,0.0,1.0,True,"frei,frei",frei,-0.16897044,0.13916492,0.0193668749586064,0.6139134213427215,61.39134213427215,0.7835262735497269,78.3526273549727,hoch,-12.689732160633653
145589,KC AQ03811009,Frank in Greenwood,Labrador-Retriever,9/30/2013,2013.0,2013.0,R,R,1,104868,138891,0.0,1.0,True,"frei,frei",frei,-0.16879834,0.13160143,0.017318936378044898,0.6547399151141322,65.47399151141322,0.8091600058790178,80.91600058790178,hoch,-12.675674007570352
112976,KCSB 4539CS,Ffynongain Ben,Labrador-Retriever,5/28/2006,2006.0,2006.0,R,R,1,112979,112947,0.0,1.0,True,"frei,frei",frei,-0.16861777,0.15992049,0.0255745631218401,0.49016061716358794,49.01606171635879,0.7001147171454032,70.01147171454032,mittel,-12.660923974457976
161436,ROI 11/152624,Waterfriend Argentina,Labrador-Retriever,,,,H,H,2,105322,32597,,,False,-,,-0.16861368,0.18401993,0.0338633346372049,0.3249205646265121,32.492056462651206,0.5700180388606242,57.00180388606242,mittel,-12.660589878897088
32730,LOSH 0900889,Amandus van't Balkenhof,Labrador-Retriever,12/30/2001,2001.0,2001.0,R,R,1,77447,70017,0.0,1.0,True,"frei,frei",frei,-0.16836971,0.17429936,0.030380266896409595,0.39435694556816725,39.43569455681673,0.6279784594778449,62.797845947784495,mittel,-12.64066095616116
